Che l'anima di Palma venga presa dai demoni dell'inferno
1;2;Ma dove mi trovo? Come ci sono finito?
2;2;"Ciao, prigioniero! Vedo che tenti di fuggire eh?"
3;2;"Beh, questo è il tuo giorno fortunato!"
4;3;"Stiamo al momento subendo una invasione celestiale e alcuni dei nostri ci hanno tradito"
5;2;"Possiamo fare un piccolo affare"
6;2;"Al momento io non ho autorità per farti uscire ma posso aiutarti prestandoti i miei poteri"
7;2;"Ovviamente tutto ad un prezzo e i miei poteri sono molto ricercati"
8;2;"Se mi porti le anime dei traditori e dei celestiali ti ricompenserò!"
9;2;Vai verso destra per seguire le indicazioni del misterioso beneffatore
0;2;Vai verso sinistra per ignorarlo
